amka,first_name,last_name,age,email,phone_number,hiring_date,personnel_type
10000000029,Dimitra,Lazarou,45,dimitra.lazarou30@yg-eupolis.gr,6969957773,2021-06-19,DOCTOR
10000000030,Natalia,Alexiou,52,natalia.alexiou31@yg-eupolis.gr,6948951343,2014-06-20,DOCTOR
10000000031,Giorgos,Papadopoulos,42,giorgos.papadopoulos32@yg-eupolis.gr,6976936763,2013-04-23,DOCTOR
10000000032,Christos,Sotiriou,34,christos.sotiriou33@yg-eupolis.gr,6932870831,2020-03-28,DOCTOR
10000000033,Theodoros,Kostopoulos,41,theodoros.kostopoulos34@yg-eupolis.gr,6979868727,2020-02-04,DOCTOR
10000000034,Natalia,Dimitriou,35,natalia.dimitriou35@yg-eupolis.gr,6973471434,2017-07-14,DOCTOR
10000000035,Evangelia,Pavlidis,30,evangelia.pavlidis36@yg-eupolis.gr,6962316658,2020-06-13,DOCTOR
10000000036,Petros,Dimitriou,54,petros.dimitriou37@yg-eupolis.gr,6965627298,2010-08-09,DOCTOR
10000000037,Ioanna,Konstantinou,41,ioanna.konstantinou38@yg-eupolis.gr,6927204653,2020-03-13,DOCTOR
10000000038,Panagiota,Sotiriou,45,panagiota.sotiriou39@yg-eupolis.gr,6941708053,2024-07-31,DOCTOR
10000000039,Theodoros,Athanasiou,53,theodoros.athanasiou40@yg-eupolis.gr,6930923271,2022-08-26,DOCTOR
10000000040,Petros,Theodorou,38,petros.theodorou41@yg-eupolis.gr,6999124190,2016-12-30,DOCTOR
10000000041,Vasiliki,Theodorou,42,vasiliki.theodorou42@yg-eupolis.gr,6914919058,2019-08-11,DOCTOR
10000000042,Eleni,Pavlidis,33,eleni.pavlidis43@yg-eupolis.gr,6971657262,2021-09-14,DOCTOR
10000000043,Ioanna,Sotiriou,34,ioanna.sotiriou44@yg-eupolis.gr,6969453147,2015-06-21,DOCTOR
10000000044,Ioanna,Konstantinou,27,ioanna.konstantinou45@yg-eupolis.gr,6975273545,2016-04-09,DOCTOR
10000000045,Despoina,Theodorou,57,despoina.theodorou46@yg-eupolis.gr,6914363495,2020-08-12,DOCTOR
10000000046,Vasiliki,Theodorou,46,vasiliki.theodorou47@yg-eupolis.gr,6944431351,2022-01-07,DOCTOR
10000000047,Kostas,Dimitriou,48,kostas.dimitriou48@yg-eupolis.gr,6994134352,2016-10-12,DOCTOR
10000000048,Stavros,Pavlidis,45,stavros.pavlidis49@yg-eupolis.gr,6984271094,2020-07-12,DOCTOR
10000000049,Anastasia,Petrou,37,anastasia.petrou50@yg-eupolis.gr,6911671902,2013-05-07,DOCTOR
10000000050,Eleni,Dimitriou,45,eleni.dimitriou51@yg-eupolis.gr,6999938677,2016-09-01,DOCTOR
10000000051,Georgia,Konstantinou,42,georgia.konstantinou52@yg-eupolis.gr,6933412328,2011-09-07,DOCTOR
10000000052,Giorgos,Ioannou,34,giorgos.ioannou53@yg-eupolis.gr,6940344713,2015-12-08,DOCTOR
10000000053,Vasilis,Nikolaou,29,vasilis.nikolaou54@yg-eupolis.gr,6942102499,2016-06-22,DOCTOR
10000000054,Maria,Nikolaou,53,maria.nikolaou55@yg-eupolis.gr,6949027874,2014-01-26,DOCTOR
10000000055,Despoina,Lazarou,42,despoina.lazarou56@yg-eupolis.gr,6965512567,2016-06-19,DOCTOR
10000000056,Chrysoula,Sotiriou,41,chrysoula.sotiriou57@yg-eupolis.gr,6954516808,2020-05-12,DOCTOR
10000000057,Maria,Dimitriou,46,maria.dimitriou58@yg-eupolis.gr,6970348247,2020-11-14,DOCTOR
10000000058,Giorgos,Athanasiou,36,giorgos.athanasiou59@yg-eupolis.gr,6948086131,2020-05-08,DOCTOR
10000000059,Marios,Lazarou,44,marios.lazarou60@yg-eupolis.gr,6984677378,2013-03-30,DOCTOR
10000000060,Sofia,Alexiou,44,sofia.alexiou61@yg-eupolis.gr,6914658404,2016-09-11,DOCTOR
10000000061,Chrysoula,Georgiou,32,chrysoula.georgiou62@yg-eupolis.gr,6958867533,2022-10-29,DOCTOR
10000000062,Sofia,Lazarou,32,sofia.lazarou63@yg-eupolis.gr,6976627028,2023-03-28,DOCTOR
10000000063,Despoina,Nikolaou,63,despoina.nikolaou64@yg-eupolis.gr,6965780913,2024-02-27,DOCTOR
10000000064,Sofia,Theodorou,47,sofia.theodorou65@yg-eupolis.gr,6972400504,2018-01-15,DOCTOR
10000000065,Vasiliki,Georgiou,49,vasiliki.georgiou66@yg-eupolis.gr,6922196937,2023-01-30,DOCTOR
10000000066,Kostas,Kostopoulos,45,kostas.kostopoulos67@yg-eupolis.gr,6907482175,2023-03-07,DOCTOR
10000000067,Despoina,Ioannou,40,despoina.ioannou68@yg-eupolis.gr,6936713695,2022-11-22,DOCTOR
10000000068,Anna,Vasiliou,43,anna.vasiliou69@yg-eupolis.gr,6940909743,2023-08-14,DOCTOR
10000000069,Sofia,Athanasiou,37,sofia.athanasiou70@yg-eupolis.gr,6910470952,2012-01-09,DOCTOR
10000000070,Panagiota,Theodorou,29,panagiota.theodorou71@yg-eupolis.gr,6985884247,2016-08-14,DOCTOR
10000000071,Natalia,Nikolaou,30,natalia.nikolaou72@yg-eupolis.gr,6968516048,2012-10-09,DOCTOR
10000000072,Marios,Nikolaou,60,marios.nikolaou73@yg-eupolis.gr,6961200471,2012-03-07,DOCTOR
10000000073,Christos,Pavlidis,47,christos.pavlidis74@yg-eupolis.gr,6986926179,2019-02-26,DOCTOR
10000000074,Maria,Theodorou,44,maria.theodorou75@yg-eupolis.gr,6935158506,2016-03-10,DOCTOR
10000000075,Nikos,Lazarou,48,nikos.lazarou76@yg-eupolis.gr,6990053293,2011-07-17,DOCTOR
10000000076,Andreas,Dimitriou,36,andreas.dimitriou77@yg-eupolis.gr,6929042284,2013-11-30,DOCTOR
10000000077,Marios,Lazarou,33,marios.lazarou78@yg-eupolis.gr,6939502402,2019-06-11,DOCTOR
10000000078,Stavros,Nikolaou,45,stavros.nikolaou79@yg-eupolis.gr,6989178390,2024-10-11,DOCTOR
10000000079,Anastasia,Athanasiou,33,anastasia.athanasiou80@yg-eupolis.gr,6961771159,2013-04-30,DOCTOR
10000000080,Dimitris,Vasiliou,35,dimitris.vasiliou81@yg-eupolis.gr,6956984789,2019-08-26,DOCTOR
10000000081,Vasiliki,Petrou,60,vasiliki.petrou82@yg-eupolis.gr,6971111615,2012-12-01,DOCTOR
10000000082,Andreas,Pavlidis,46,andreas.pavlidis83@yg-eupolis.gr,6965604945,2012-04-28,DOCTOR
10000000083,Dimitris,Athanasiou,44,dimitris.athanasiou84@yg-eupolis.gr,6958514936,2022-08-01,DOCTOR
10000000084,Andreas,Alexiou,54,andreas.alexiou85@yg-eupolis.gr,6902445502,2013-03-19,DOCTOR
10000000085,Eleni,Georgiou,33,eleni.georgiou86@yg-eupolis.gr,6983667525,2016-12-27,DOCTOR
10000000086,Natalia,Konstantinou,33,natalia.konstantinou87@yg-eupolis.gr,6929014767,2023-08-14,DOCTOR
10000000087,Vasiliki,Vasiliou,41,vasiliki.vasiliou88@yg-eupolis.gr,6956149784,2011-01-08,DOCTOR
10000000088,Vasilis,Konstantinou,31,vasilis.konstantinou89@yg-eupolis.gr,6932445107,2019-08-29,DOCTOR
10000000089,Dimitris,Ioannou,35,dimitris.ioannou90@yg-eupolis.gr,6985160607,2011-09-30,DOCTOR
10000000090,Eleni,Ioannou,63,eleni.ioannou91@yg-eupolis.gr,6996816453,2017-06-21,DOCTOR
10000000091,Nikos,Pavlidis,42,nikos.pavlidis92@yg-eupolis.gr,6935523124,2014-06-05,DOCTOR
10000000092,Andreas,Georgiou,53,andreas.georgiou93@yg-eupolis.gr,6927799799,2017-04-01,DOCTOR
10000000093,Katerina,Kostopoulos,48,katerina.kostopoulos94@yg-eupolis.gr,6949058147,2020-02-20,DOCTOR
10000000094,Giorgos,Petrou,34,giorgos.petrou95@yg-eupolis.gr,6999867980,2020-02-02,DOCTOR
10000000095,Panagiotis,Konstantinou,35,panagiotis.konstantinou96@yg-eupolis.gr,6971518203,2019-10-27,DOCTOR
10000000096,Dimitra,Pavlidis,38,dimitra.pavlidis97@yg-eupolis.gr,6946659051,2017-05-24,DOCTOR
10000000097,Spyros,Athanasiou,29,spyros.athanasiou98@yg-eupolis.gr,6951925462,2023-05-07,DOCTOR
10000000098,Giannis,Pavlidis,32,giannis.pavlidis99@yg-eupolis.gr,6928168505,2016-12-05,DOCTOR
10000000099,Marios,Petrou,62,marios.petrou100@yg-eupolis.gr,6922292706,2018-03-04,DOCTOR
10000000100,Petros,Konstantinou,53,petros.konstantinou101@yg-eupolis.gr,6938347359,2019-11-19,DOCTOR
10000000101,Natalia,Vasiliou,47,natalia.vasiliou102@yg-eupolis.gr,6962392407,2018-04-29,DOCTOR
10000000102,Stavros,Lazarou,54,stavros.lazarou103@yg-eupolis.gr,6912478261,2014-12-24,DOCTOR
10000000103,Evangelia,Petrou,33,evangelia.petrou104@yg-eupolis.gr,6985361530,2017-02-23,DOCTOR
10000000104,Michalis,Theodorou,45,michalis.theodorou105@yg-eupolis.gr,6920472779,2010-02-13,DOCTOR
10000000105,Giorgos,Vasiliou,35,giorgos.vasiliou106@yg-eupolis.gr,6998614341,2011-01-27,DOCTOR
10000000106,Vasilis,Athanasiou,28,vasilis.athanasiou107@yg-eupolis.gr,6917980893,2013-03-22,DOCTOR
10000000107,Vasiliki,Papadopoulos,33,vasiliki.papadopoulos108@yg-eupolis.gr,6921851888,2021-05-21,DOCTOR
10000000108,Theodoros,Konstantinou,61,theodoros.konstantinou109@yg-eupolis.gr,6905852772,2013-01-09,DOCTOR
10000000109,Stavros,Sotiriou,41,stavros.sotiriou110@yg-eupolis.gr,6903054868,2020-08-14,DOCTOR
10000000110,Maria,Sotiriou,44,maria.sotiriou111@yg-eupolis.gr,6905415667,2018-09-03,DOCTOR
10000000111,Katerina,Kostopoulos,48,katerina.kostopoulos112@yg-eupolis.gr,6941616928,2016-08-03,DOCTOR
10000000112,Eleni,Nikolaou,37,eleni.nikolaou113@yg-eupolis.gr,6979627570,2017-11-28,DOCTOR
10000000113,Georgia,Athanasiou,34,georgia.athanasiou114@yg-eupolis.gr,6958202970,2012-10-31,DOCTOR
10000000114,Kostas,Sotiriou,38,kostas.sotiriou115@yg-eupolis.gr,6990927557,2011-09-22,DOCTOR
10000000115,Spyros,Petrou,31,spyros.petrou116@yg-eupolis.gr,6931027868,2012-08-22,DOCTOR
10000000116,Natalia,Vasiliou,31,natalia.vasiliou117@yg-eupolis.gr,6973121727,2011-12-21,DOCTOR
10000000117,Theodoros,Petrou,58,theodoros.petrou118@yg-eupolis.gr,6923705895,2020-06-25,DOCTOR
10000000118,Andreas,Alexiou,42,andreas.alexiou119@yg-eupolis.gr,6978669125,2024-05-29,DOCTOR
10000000119,Petros,Kostopoulos,49,petros.kostopoulos120@yg-eupolis.gr,6989226801,2021-08-15,DOCTOR
10000000120,Giannis,Georgiou,46,giannis.georgiou121@yg-eupolis.gr,6958414384,2012-10-22,DOCTOR
10000000121,Ioanna,Pavlidis,43,ioanna.pavlidis122@yg-eupolis.gr,6999229959,2010-12-04,DOCTOR
10000000122,Nikos,Papadopoulos,42,nikos.papadopoulos123@yg-eupolis.gr,6939690784,2024-05-25,DOCTOR
10000000123,Anastasia,Dimitriou,43,anastasia.dimitriou124@yg-eupolis.gr,6947102767,2020-06-01,DOCTOR
10000000124,Panagiotis,Konstantinou,32,panagiotis.konstantinou125@yg-eupolis.gr,6956258815,2015-06-04,DOCTOR
10000000125,Eleni,Vasiliou,28,eleni.vasiliou126@yg-eupolis.gr,6904696325,2022-12-16,DOCTOR
10000000126,Kostas,Konstantinou,55,kostas.konstantinou127@yg-eupolis.gr,6979748016,2013-01-02,DOCTOR
10000000127,Anna,Petrou,47,anna.petrou128@yg-eupolis.gr,6960983584,2011-08-26,DOCTOR
10000000128,Dimitra,Kostopoulos,49,dimitra.kostopoulos129@yg-eupolis.gr,6921655852,2014-06-19,DOCTOR
10000000129,Dimitra,Papadopoulos,41,dimitra.papadopoulos130@yg-eupolis.gr,6978729825,2023-10-02,DOCTOR
10000000130,Katerina,Ioannou,46,katerina.ioannou131@yg-eupolis.gr,6995888794,2020-08-26,DOCTOR
10000000131,Panagiotis,Petrou,39,panagiotis.petrou132@yg-eupolis.gr,6909749930,2023-02-02,DOCTOR
10000000132,Katerina,Pavlidis,42,katerina.pavlidis133@yg-eupolis.gr,6923091307,2017-01-13,DOCTOR
10000000133,Katerina,Ioannou,35,katerina.ioannou134@yg-eupolis.gr,6997028385,2024-11-07,DOCTOR
10000000134,Dimitra,Ioannou,35,dimitra.ioannou135@yg-eupolis.gr,6958549733,2016-04-04,DOCTOR
10000000135,Georgia,Nikolaou,54,georgia.nikolaou136@yg-eupolis.gr,6966524041,2019-10-08,NURSE
10000000136,Despoina,Vasiliou,25,despoina.vasiliou137@yg-eupolis.gr,6938484219,2025-02-28,NURSE
10000000137,Kostas,Papadopoulos,25,kostas.papadopoulos138@yg-eupolis.gr,6930165712,2012-02-12,NURSE
10000000138,Vasilis,Athanasiou,32,vasilis.athanasiou139@yg-eupolis.gr,6934540193,2024-01-01,NURSE
10000000139,Christos,Alexiou,35,christos.alexiou140@yg-eupolis.gr,6920672400,2018-09-10,NURSE
10000000140,Christos,Petrou,32,christos.petrou141@yg-eupolis.gr,6988728743,2014-07-11,NURSE
10000000141,Katerina,Theodorou,48,katerina.theodorou142@yg-eupolis.gr,6920549329,2021-02-03,NURSE
10000000142,Dimitra,Petrou,40,dimitra.petrou143@yg-eupolis.gr,6912275304,2020-08-08,NURSE
10000000143,Petros,Sotiriou,38,petros.sotiriou144@yg-eupolis.gr,6999045301,2022-06-09,NURSE
10000000144,Katerina,Ioannou,44,katerina.ioannou145@yg-eupolis.gr,6941459332,2022-09-22,NURSE
10000000145,Petros,Theodorou,39,petros.theodorou146@yg-eupolis.gr,6987833918,2022-01-07,NURSE
10000000146,Eleni,Alexiou,31,eleni.alexiou147@yg-eupolis.gr,6988398225,2023-09-02,NURSE
10000000147,Eleni,Athanasiou,50,eleni.athanasiou148@yg-eupolis.gr,6971870728,2021-04-26,NURSE
10000000148,Ioanna,Papadopoulos,42,ioanna.papadopoulos149@yg-eupolis.gr,6940640391,2013-01-06,NURSE
10000000149,Panagiota,Theodorou,45,panagiota.theodorou150@yg-eupolis.gr,6917046226,2020-05-25,NURSE
10000000150,Anastasia,Lazarou,40,anastasia.lazarou151@yg-eupolis.gr,6982512868,2014-11-09,NURSE
10000000151,Michalis,Papadopoulos,28,michalis.papadopoulos152@yg-eupolis.gr,6978686337,2019-10-06,NURSE
10000000152,Giannis,Dimitriou,31,giannis.dimitriou153@yg-eupolis.gr,6969033119,2012-10-02,NURSE
10000000153,Ioanna,Athanasiou,56,ioanna.athanasiou154@yg-eupolis.gr,6906738302,2023-04-20,NURSE
10000000154,Sofia,Lazarou,27,sofia.lazarou155@yg-eupolis.gr,6999534283,2021-04-10,NURSE
10000000155,Georgia,Papadopoulos,33,georgia.papadopoulos156@yg-eupolis.gr,6926870568,2019-02-24,NURSE
10000000156,Vasiliki,Georgiou,24,vasiliki.georgiou157@yg-eupolis.gr,6987334270,2024-08-12,NURSE
10000000157,Vasiliki,Pavlidis,28,vasiliki.pavlidis158@yg-eupolis.gr,6934351751,2024-01-05,NURSE
10000000158,Giorgos,Vasiliou,31,giorgos.vasiliou159@yg-eupolis.gr,6990139837,2016-09-07,NURSE
10000000159,Georgia,Alexiou,34,georgia.alexiou160@yg-eupolis.gr,6917393638,2019-03-19,NURSE
10000000160,Vasiliki,Kostopoulos,48,vasiliki.kostopoulos161@yg-eupolis.gr,6944587717,2019-03-08,NURSE
10000000161,Panagiotis,Petrou,29,panagiotis.petrou162@yg-eupolis.gr,6932048996,2018-08-15,NURSE
10000000162,Kostas,Petrou,40,kostas.petrou163@yg-eupolis.gr,6937854777,2015-10-10,NURSE
10000000163,Katerina,Georgiou,45,katerina.georgiou164@yg-eupolis.gr,6928080100,2021-04-01,NURSE
10000000164,Michalis,Athanasiou,30,michalis.athanasiou165@yg-eupolis.gr,6920387509,2022-11-02,NURSE
10000000165,Maria,Papadopoulos,45,maria.papadopoulos166@yg-eupolis.gr,6900848408,2021-08-28,NURSE
10000000166,Nikos,Alexiou,44,nikos.alexiou167@yg-eupolis.gr,6933984546,2013-10-09,NURSE
10000000167,Vasiliki,Kostopoulos,35,vasiliki.kostopoulos168@yg-eupolis.gr,6934101666,2024-05-24,NURSE
10000000168,Maria,Athanasiou,50,maria.athanasiou169@yg-eupolis.gr,6917659180,2017-02-25,NURSE
10000000169,Christos,Lazarou,46,christos.lazarou170@yg-eupolis.gr,6940148902,2019-01-20,NURSE
10000000170,Kostas,Konstantinou,50,kostas.konstantinou171@yg-eupolis.gr,6961429396,2024-02-15,NURSE
10000000171,Vasiliki,Sotiriou,56,vasiliki.sotiriou172@yg-eupolis.gr,6918501631,2019-08-22,NURSE
10000000172,Natalia,Petrou,26,natalia.petrou173@yg-eupolis.gr,6977358662,2025-02-20,NURSE
10000000173,Eleni,Sotiriou,34,eleni.sotiriou174@yg-eupolis.gr,6931142626,2019-02-07,NURSE
10000000174,Eleni,Nikolaou,29,eleni.nikolaou175@yg-eupolis.gr,6954121267,2024-06-28,NURSE
10000000175,Eleni,Papadopoulos,30,eleni.papadopoulos176@yg-eupolis.gr,6919956046,2020-09-11,NURSE
10000000176,Stavros,Alexiou,31,stavros.alexiou177@yg-eupolis.gr,6982622444,2023-01-22,NURSE
10000000177,Nikos,Georgiou,36,nikos.georgiou178@yg-eupolis.gr,6947154379,2016-05-20,NURSE
10000000178,Eleni,Georgiou,28,eleni.georgiou179@yg-eupolis.gr,6959657569,2015-01-20,NURSE
10000000179,Panagiota,Konstantinou,34,panagiota.konstantinou180@yg-eupolis.gr,6952654793,2019-04-23,NURSE
10000000180,Georgia,Lazarou,40,georgia.lazarou181@yg-eupolis.gr,6919398280,2022-05-09,NURSE
10000000181,Petros,Sotiriou,50,petros.sotiriou182@yg-eupolis.gr,6967243426,2020-06-15,NURSE
10000000182,Petros,Konstantinou,46,petros.konstantinou183@yg-eupolis.gr,6988680589,2013-11-27,NURSE
10000000183,Theodoros,Dimitriou,49,theodoros.dimitriou184@yg-eupolis.gr,6929096561,2012-03-27,NURSE
10000000184,Giannis,Dimitriou,44,giannis.dimitriou185@yg-eupolis.gr,6999375679,2023-03-23,NURSE
10000000185,Panagiotis,Papadopoulos,31,panagiotis.papadopoulos186@yg-eupolis.gr,6961125457,2016-08-21,NURSE
10000000186,Panagiota,Kostopoulos,42,panagiota.kostopoulos187@yg-eupolis.gr,6975140105,2014-06-14,NURSE
10000000187,Christos,Theodorou,44,christos.theodorou188@yg-eupolis.gr,6982586736,2016-02-20,NURSE
10000000188,Marios,Athanasiou,40,marios.athanasiou189@yg-eupolis.gr,6993796603,2016-08-12,NURSE
10000000189,Natalia,Theodorou,57,natalia.theodorou190@yg-eupolis.gr,6918255371,2017-11-19,NURSE
10000000190,Dimitra,Athanasiou,28,dimitra.athanasiou191@yg-eupolis.gr,6996915579,2015-11-14,NURSE
10000000191,Evangelia,Konstantinou,32,evangelia.konstantinou192@yg-eupolis.gr,6925134125,2015-03-04,NURSE
10000000192,Vasiliki,Konstantinou,28,vasiliki.konstantinou193@yg-eupolis.gr,6962782827,2018-06-24,NURSE
10000000193,Dimitris,Petrou,31,dimitris.petrou194@yg-eupolis.gr,6905072368,2023-05-03,NURSE
10000000194,Vasiliki,Athanasiou,33,vasiliki.athanasiou195@yg-eupolis.gr,6977219034,2012-09-24,NURSE
10000000195,Sofia,Pavlidis,33,sofia.pavlidis196@yg-eupolis.gr,6979788191,2018-01-03,NURSE
10000000196,Dimitra,Lazarou,29,dimitra.lazarou197@yg-eupolis.gr,6978361340,2022-02-01,NURSE
10000000197,Panagiota,Lazarou,30,panagiota.lazarou198@yg-eupolis.gr,6913395962,2015-02-14,NURSE
10000000198,Michalis,Dimitriou,29,michalis.dimitriou199@yg-eupolis.gr,6958498254,2018-06-28,NURSE
10000000199,Chrysoula,Pavlidis,31,chrysoula.pavlidis200@yg-eupolis.gr,6960422325,2017-07-20,NURSE
10000000200,Anastasia,Georgiou,48,anastasia.georgiou201@yg-eupolis.gr,6966711684,2020-04-11,NURSE
10000000201,Anastasia,Petrou,28,anastasia.petrou202@yg-eupolis.gr,6917518636,2016-10-01,NURSE
10000000202,Georgia,Petrou,37,georgia.petrou203@yg-eupolis.gr,6989297500,2014-03-26,NURSE
10000000203,Maria,Nikolaou,33,maria.nikolaou204@yg-eupolis.gr,6970632424,2014-02-03,NURSE
10000000204,Georgia,Nikolaou,49,georgia.nikolaou205@yg-eupolis.gr,6920643611,2012-01-09,NURSE
10000000205,Petros,Nikolaou,46,petros.nikolaou206@yg-eupolis.gr,6987005162,2022-09-18,NURSE
10000000206,Kostas,Ioannou,31,kostas.ioannou207@yg-eupolis.gr,6955426221,2023-11-24,NURSE
10000000207,Andreas,Athanasiou,47,andreas.athanasiou208@yg-eupolis.gr,6932697311,2015-02-20,NURSE
10000000208,Andreas,Theodorou,28,andreas.theodorou209@yg-eupolis.gr,6952341389,2025-06-16,NURSE
10000000209,Natalia,Theodorou,26,natalia.theodorou210@yg-eupolis.gr,6938983640,2017-05-14,NURSE
10000000210,Vasiliki,Nikolaou,32,vasiliki.nikolaou211@yg-eupolis.gr,6991805526,2024-09-30,NURSE
10000000211,Panagiota,Pavlidis,34,panagiota.pavlidis212@yg-eupolis.gr,6971091043,2012-11-22,NURSE
10000000212,Theodoros,Ioannou,32,theodoros.ioannou213@yg-eupolis.gr,6986661889,2015-06-04,NURSE
10000000213,Eleni,Vasiliou,44,eleni.vasiliou214@yg-eupolis.gr,6928569146,2017-05-08,NURSE
10000000214,Kostas,Nikolaou,31,kostas.nikolaou215@yg-eupolis.gr,6999042102,2012-04-02,NURSE
10000000215,Petros,Petrou,44,petros.petrou216@yg-eupolis.gr,6942524105,2021-08-18,NURSE
10000000216,Dimitra,Nikolaou,50,dimitra.nikolaou217@yg-eupolis.gr,6917785079,2015-09-29,NURSE
10000000217,Katerina,Vasiliou,31,katerina.vasiliou218@yg-eupolis.gr,6913800030,2022-07-31,NURSE
10000000218,Vasiliki,Alexiou,33,vasiliki.alexiou219@yg-eupolis.gr,6908635365,2018-01-31,NURSE
10000000219,Andreas,Petrou,44,andreas.petrou220@yg-eupolis.gr,6902380617,2018-05-01,NURSE
10000000220,Panagiota,Nikolaou,42,panagiota.nikolaou221@yg-eupolis.gr,6953494937,2020-04-04,NURSE
10000000221,Natalia,Sotiriou,45,natalia.sotiriou222@yg-eupolis.gr,6932060385,2012-03-19,NURSE
10000000222,Maria,Sotiriou,40,maria.sotiriou223@yg-eupolis.gr,6941383670,2015-03-12,NURSE
10000000223,Eleni,Papadopoulos,44,eleni.papadopoulos224@yg-eupolis.gr,6957191826,2013-09-05,NURSE
10000000224,Vasilis,Athanasiou,35,vasilis.athanasiou225@yg-eupolis.gr,6945655743,2013-09-03,NURSE
10000000225,Dimitris,Sotiriou,57,dimitris.sotiriou226@yg-eupolis.gr,6921277561,2024-01-08,NURSE
10000000226,Natalia,Dimitriou,29,natalia.dimitriou227@yg-eupolis.gr,6941124903,2019-05-09,NURSE
10000000227,Nikos,Theodorou,28,nikos.theodorou228@yg-eupolis.gr,6980442067,2024-06-20,NURSE
10000000228,Nikos,Kostopoulos,23,nikos.kostopoulos229@yg-eupolis.gr,6900323651,2025-01-22,NURSE
10000000229,Evangelia,Lazarou,23,evangelia.lazarou230@yg-eupolis.gr,6937215107,2013-02-18,NURSE
10000000230,Christos,Konstantinou,29,christos.konstantinou231@yg-eupolis.gr,6906625324,2018-04-11,NURSE
10000000231,Evangelia,Georgiou,47,evangelia.georgiou232@yg-eupolis.gr,6993476870,2013-12-19,NURSE
10000000232,Vasiliki,Georgiou,34,vasiliki.georgiou233@yg-eupolis.gr,6983806578,2022-11-14,NURSE
10000000233,Evangelia,Konstantinou,38,evangelia.konstantinou234@yg-eupolis.gr,6942059304,2013-04-24,NURSE
10000000234,Dimitra,Petrou,46,dimitra.petrou235@yg-eupolis.gr,6921334803,2024-11-29,NURSE
