+------------+--------------+-------------+----------------+
| first_name | last_name    | amka        | personnel_type |
| Ioanna     | Athanasiou   | 10000000042 | DOCTOR         |
| Dimitra    | Ioannou      | 10000000043 | DOCTOR         |
| Katerina   | Theodorou    | 10000000044 | DOCTOR         |
| Sofia      | Sotiriou     | 10000000045 | DOCTOR         |
| Georgia    | Alexiou      | 10000000046 | DOCTOR         |
| Despoina   | Theodorou    | 10000000047 | DOCTOR         |
| Vasiliki   | Theodorou    | 10000000048 | DOCTOR         |
| Kostas     | Dimitriou    | 10000000049 | DOCTOR         |
| Stavros    | Pavlidis     | 10000000050 | DOCTOR         |
| Anastasia  | Petrou       | 10000000051 | DOCTOR         |
| Eleni      | Dimitriou    | 10000000052 | DOCTOR         |
| Georgia    | Konstantinou | 10000000053 | DOCTOR         |
| Giorgos    | Ioannou      | 10000000054 | DOCTOR         |
| Vasilis    | Nikolaou     | 10000000055 | DOCTOR         |
| Georgia    | Athanasiou   | 10000000056 | DOCTOR         |
| Marios     | Lazarou      | 10000000057 | DOCTOR         |
| Christos   | Vasiliou     | 10000000058 | DOCTOR         |
| Kostas     | Lazarou      | 10000000059 | DOCTOR         |
| Vasilis    | Dimitriou    | 10000000060 | DOCTOR         |
| Chrysoula  | Georgiou     | 10000000061 | DOCTOR         |
| Sofia      | Lazarou      | 10000000062 | DOCTOR         |
| Chrysoula  | Nikolaou     | 10000000063 | DOCTOR         |
| Ioanna     | Theodorou    | 10000000064 | DOCTOR         |
| Sofia      | Theodorou    | 10000000065 | DOCTOR         |
| Vasiliki   | Georgiou     | 10000000066 | DOCTOR         |
| Kostas     | Kostopoulos  | 10000000067 | DOCTOR         |
| Despoina   | Ioannou      | 10000000068 | DOCTOR         |
| Anna       | Vasiliou     | 10000000069 | DOCTOR         |
| Sofia      | Athanasiou   | 10000000070 | DOCTOR         |
| Panagiota  | Theodorou    | 10000000071 | DOCTOR         |
| Natalia    | Nikolaou     | 10000000072 | DOCTOR         |
| Panagiota  | Athanasiou   | 10000000073 | DOCTOR         |
| Marios     | Nikolaou     | 10000000074 | DOCTOR         |
| Christos   | Pavlidis     | 10000000075 | DOCTOR         |
| Maria      | Theodorou    | 10000000076 | DOCTOR         |
| Nikos      | Lazarou      | 10000000077 | DOCTOR         |
| Andreas    | Dimitriou    | 10000000078 | DOCTOR         |
| Marios     | Lazarou      | 10000000079 | DOCTOR         |
| Stavros    | Nikolaou     | 10000000080 | DOCTOR         |
| Anastasia  | Athanasiou   | 10000000081 | DOCTOR         |
| Dimitris   | Vasiliou     | 10000000082 | DOCTOR         |
| Theodoros  | Theodorou    | 10000000083 | DOCTOR         |
| Andreas    | Alexiou      | 10000000084 | DOCTOR         |
| Eleni      | Georgiou     | 10000000085 | DOCTOR         |
| Natalia    | Konstantinou | 10000000086 | DOCTOR         |
| Vasiliki   | Vasiliou     | 10000000087 | DOCTOR         |
| Vasilis    | Konstantinou | 10000000088 | DOCTOR         |
| Dimitris   | Ioannou      | 10000000089 | DOCTOR         |
| Ioanna     | Ioannou      | 10000000090 | DOCTOR         |
| Vasilis    | Lazarou      | 10000000091 | DOCTOR         |
| Spyros     | Pavlidis     | 10000000092 | DOCTOR         |
| Dimitris   | Sotiriou     | 10000000093 | DOCTOR         |
| Natalia    | Vasiliou     | 10000000094 | DOCTOR         |
| Andreas    | Konstantinou | 10000000095 | DOCTOR         |
| Petros     | Nikolaou     | 10000000096 | DOCTOR         |
| Panagiotis | Petrou       | 10000000097 | DOCTOR         |
| Anna       | Lazarou      | 10000000098 | DOCTOR         |
| Giannis    | Pavlidis     | 10000000099 | DOCTOR         |
| Kostas     | Petrou       | 10000000100 | DOCTOR         |
| Evangelia  | Sotiriou     | 10000000101 | DOCTOR         |
| Petros     | Konstantinou | 10000000102 | DOCTOR         |
| Natalia    | Vasiliou     | 10000000103 | DOCTOR         |
| Stavros    | Lazarou      | 10000000104 | DOCTOR         |
| Evangelia  | Petrou       | 10000000105 | DOCTOR         |
| Michalis   | Theodorou    | 10000000106 | DOCTOR         |
| Giorgos    | Vasiliou     | 10000000107 | DOCTOR         |
| Vasilis    | Athanasiou   | 10000000108 | DOCTOR         |
| Vasiliki   | Papadopoulos | 10000000109 | DOCTOR         |
| Vasilis    | Lazarou      | 10000000110 | DOCTOR         |
| Katerina   | Papadopoulos | 10000000111 | DOCTOR         |
| Georgia    | Kostopoulos  | 10000000112 | DOCTOR         |
| Panagiota  | Ioannou      | 10000000114 | DOCTOR         |
| Andreas    | Vasiliou     | 10000000116 | DOCTOR         |
| Dimitra    | Konstantinou | 10000000118 | DOCTOR         |
| Chrysoula  | Konstantinou | 10000000119 | DOCTOR         |
| Dimitra    | Alexiou      | 10000000120 | DOCTOR         |
| Dimitris   | Athanasiou   | 10000000122 | DOCTOR         |
| Petros     | Ioannou      | 10000000124 | DOCTOR         |
| Panagiotis | Dimitriou    | 10000000125 | DOCTOR         |
| Dimitra    | Kostopoulos  | 10000000127 | DOCTOR         |
| Vasilis    | Georgiou     | 10000000128 | DOCTOR         |
| Eleni      | Ioannou      | 10000000129 | DOCTOR         |
| Natalia    | Georgiou     | 10000000130 | DOCTOR         |
| Andreas    | Alexiou      | 10000000131 | DOCTOR         |
| Despoina   | Sotiriou     | 10000000133 | DOCTOR         |
| Stavros    | Georgiou     | 10000000135 | DOCTOR         |
| Despoina   | Sotiriou     | 10000000136 | DOCTOR         |
| Anna       | Dimitriou    | 10000000137 | DOCTOR         |
| Evangelia  | Pavlidis     | 10000000139 | DOCTOR         |
| Despoina   | Pavlidis     | 10000000140 | DOCTOR         |
| Stavros    | Petrou       | 10000000141 | DOCTOR         |
| Dimitris   | Georgiou     | 10000000142 | DOCTOR         |
| Giannis    | Athanasiou   | 10000000143 | DOCTOR         |
| Panagiota  | Konstantinou | 10000000144 | DOCTOR         |
| Theodoros  | Dimitriou    | 10000000145 | DOCTOR         |
| Andreas    | Pavlidis     | 10000000146 | DOCTOR         |
| Katerina   | Pavlidis     | 10000000147 | DOCTOR         |
| Giorgos    | Ioannou      | 10000000148 | DOCTOR         |
| Panagiota  | Alexiou      | 10000000149 | DOCTOR         |
| Stavros    | Dimitriou    | 10000000150 | DOCTOR         |
| Katerina   | Vasiliou     | 10000000151 | DOCTOR         |
| Petros     | Konstantinou | 10000000152 | DOCTOR         |
| Sofia      | Lazarou      | 10000000153 | DOCTOR         |
| Marios     | Athanasiou   | 10000000154 | DOCTOR         |
| Theodoros  | Pavlidis     | 10000000155 | DOCTOR         |
| Vasilis    | Dimitriou    | 10000000156 | DOCTOR         |
| Michalis   | Nikolaou     | 10000000157 | DOCTOR         |
| Evangelia  | Dimitriou    | 10000000158 | DOCTOR         |
| Georgia    | Vasiliou     | 10000000159 | DOCTOR         |
| Stavros    | Georgiou     | 10000000160 | DOCTOR         |
| Georgia    | Sotiriou     | 10000000161 | DOCTOR         |
| Spyros     | Papadopoulos | 10000000162 | DOCTOR         |
| Panagiota  | Papadopoulos | 10000000163 | DOCTOR         |
| Dimitra    | Vasiliou     | 10000000164 | DOCTOR         |
| Chrysoula  | Petrou       | 10000000165 | DOCTOR         |
| Nikos      | Ioannou      | 10000000166 | DOCTOR         |
| Kostas     | Dimitriou    | 10000000167 | DOCTOR         |
| Theodoros  | Konstantinou | 10000000168 | DOCTOR         |
| Giorgos    | Vasiliou     | 10000000169 | DOCTOR         |
| Eleni      | Papadopoulos | 10000000170 | DOCTOR         |
| Andreas    | Pavlidis     | 10000000171 | DOCTOR         |
| Vasiliki   | Vasiliou     | 10000000172 | DOCTOR         |
| Maria      | Ioannou      | 10000000173 | DOCTOR         |
| Petros     | Petrou       | 10000000174 | DOCTOR         |
| Andreas    | Pavlidis     | 10000000175 | DOCTOR         |
| Sofia      | Vasiliou     | 10000000176 | DOCTOR         |
| Dimitra    | Papadopoulos | 10000000177 | DOCTOR         |
| Natalia    | Petrou       | 10000000178 | DOCTOR         |
| Panagiota  | Ioannou      | 10000000179 | DOCTOR         |
| Panagiotis | Vasiliou     | 10000000180 | DOCTOR         |
| Maria      | Sotiriou     | 10000000181 | DOCTOR         |
| Anastasia  | Dimitriou    | 10000000182 | DOCTOR         |
| Maria      | Theodorou    | 10000000183 | DOCTOR         |
| Despoina   | Lazarou      | 10000000184 | DOCTOR         |
| Michalis   | Athanasiou   | 10000000185 | DOCTOR         |
| Vasiliki   | Konstantinou | 10000000186 | DOCTOR         |
| Panagiotis | Lazarou      | 10000000187 | DOCTOR         |
| Vasiliki   | Theodorou    | 10000000188 | DOCTOR         |
| Katerina   | Sotiriou     | 10000000189 | DOCTOR         |
| Theodoros  | Theodorou    | 10000000190 | DOCTOR         |
| Theodoros  | Sotiriou     | 10000000191 | DOCTOR         |
| Dimitra    | Vasiliou     | 10000000192 | DOCTOR         |
| Chrysoula  | Athanasiou   | 10000000193 | DOCTOR         |
| Despoina   | Ioannou      | 10000000194 | DOCTOR         |
| Stavros    | Kostopoulos  | 10000000195 | DOCTOR         |
| Dimitris   | Konstantinou | 10000000196 | DOCTOR         |
| Eleni      | Theodorou    | 10000000197 | DOCTOR         |
| Andreas    | Athanasiou   | 10000000198 | DOCTOR         |
| Panagiota  | Ioannou      | 10000000199 | DOCTOR         |
| Sofia      | Pavlidis     | 10000000200 | DOCTOR         |
| Spyros     | Alexiou      | 10000000201 | DOCTOR         |
| Giorgos    | Vasiliou     | 10000000202 | DOCTOR         |
| Giannis    | Nikolaou     | 10000000203 | DOCTOR         |
| Kostas     | Nikolaou     | 10000000204 | DOCTOR         |
| Katerina   | Petrou       | 10000000205 | DOCTOR         |
| Petros     | Kostopoulos  | 10000000206 | DOCTOR         |
| Giorgos    | Lazarou      | 10000000207 | DOCTOR         |
| Sofia      | Ioannou      | 10000000208 | DOCTOR         |
| Eleni      | Alexiou      | 10000000209 | DOCTOR         |
| Anna       | Konstantinou | 10000000210 | DOCTOR         |
| Despoina   | Lazarou      | 10000000211 | DOCTOR         |
| Stavros    | Vasiliou     | 10000000212 | DOCTOR         |
| Eleni      | Konstantinou | 10000000213 | DOCTOR         |
| Nikos      | Dimitriou    | 10000000214 | DOCTOR         |
| Natalia    | Dimitriou    | 10000000215 | DOCTOR         |
| Stavros    | Dimitriou    | 10000000216 | DOCTOR         |
| Petros     | Nikolaou     | 10000000217 | DOCTOR         |
| Evangelia  | Lazarou      | 10000000218 | DOCTOR         |
| Chrysoula  | Theodorou    | 10000000219 | DOCTOR         |
| Andreas    | Konstantinou | 10000000220 | DOCTOR         |
| Sofia      | Athanasiou   | 10000000221 | DOCTOR         |
| Vasiliki   | Vasiliou     | 10000000222 | DOCTOR         |
| Kostas     | Athanasiou   | 10000000223 | DOCTOR         |
| Stavros    | Ioannou      | 10000000224 | DOCTOR         |
| Katerina   | Georgiou     | 10000000225 | DOCTOR         |
| Katerina   | Petrou       | 10000000226 | DOCTOR         |
| Panagiotis | Vasiliou     | 10000000227 | DOCTOR         |
| Eleni      | Lazarou      | 10000000228 | DOCTOR         |
| Panagiotis | Georgiou     | 10000000229 | DOCTOR         |
| Andreas    | Alexiou      | 10000000230 | DOCTOR         |
| Nikos      | Papadopoulos | 10000000231 | DOCTOR         |
| Nikos      | Papadopoulos | 10000000232 | DOCTOR         |
| Katerina   | Petrou       | 10000000233 | DOCTOR         |
| Theodoros  | Theodorou    | 10000000234 | DOCTOR         |
| Ioanna     | Alexiou      | 10000000235 | DOCTOR         |
| Katerina   | Georgiou     | 10000000236 | DOCTOR         |
| Nikos      | Ioannou      | 10000000237 | DOCTOR         |
| Katerina   | Georgiou     | 10000000238 | DOCTOR         |
| Ioanna     | Konstantinou | 10000000239 | DOCTOR         |
| Stavros    | Kostopoulos  | 10000000240 | DOCTOR         |
| Georgia    | Theodorou    | 10000000241 | DOCTOR         |
| Nikos      | Vasiliou     | 10000000242 | DOCTOR         |
| Maria      | Alexiou      | 10000000243 | DOCTOR         |
| Katerina   | Lazarou      | 10000000244 | DOCTOR         |
| Michalis   | Dimitriou    | 10000000245 | DOCTOR         |
| Kostas     | Vasiliou     | 10000000246 | DOCTOR         |
| Ioanna     | Nikolaou     | 10000000247 | DOCTOR         |
| Despoina   | Petrou       | 10000000248 | DOCTOR         |
| Marios     | Kostopoulos  | 10000000249 | DOCTOR         |
| Evangelia  | Athanasiou   | 10000000250 | DOCTOR         |
| Despoina   | Nikolaou     | 10000000251 | DOCTOR         |
| Maria      | Papadopoulos | 10000000252 | DOCTOR         |
| Katerina   | Nikolaou     | 10000000253 | DOCTOR         |
| Vasiliki   | Alexiou      | 10000000254 | DOCTOR         |
| Andreas    | Pavlidis     | 10000000255 | DOCTOR         |
| Giorgos    | Theodorou    | 10000000256 | DOCTOR         |
| Marios     | Pavlidis     | 10000000257 | DOCTOR         |
| Andreas    | Dimitriou    | 10000000258 | DOCTOR         |
| Panagiota  | Dimitriou    | 10000000259 | DOCTOR         |
| Petros     | Vasiliou     | 10000000260 | DOCTOR         |
| Michalis   | Georgiou     | 10000000261 | DOCTOR         |
| Vasiliki   | Kostopoulos  | 10000000262 | DOCTOR         |
| Natalia    | Konstantinou | 10000000263 | DOCTOR         |
| Nikos      | Vasiliou     | 10000000264 | DOCTOR         |
| Petros     | Petrou       | 10000000265 | DOCTOR         |
| Nikos      | Sotiriou     | 10000000266 | DOCTOR         |
| Anastasia  | Sotiriou     | 10000000267 | DOCTOR         |
| Michalis   | Nikolaou     | 10000000268 | DOCTOR         |
| Dimitra    | Sotiriou     | 10000000269 | DOCTOR         |
| Anna       | Nikolaou     | 10000000270 | DOCTOR         |
| Chrysoula  | Sotiriou     | 10000000271 | DOCTOR         |
| Maria      | Pavlidis     | 10000000272 | DOCTOR         |
| Dimitra    | Alexiou      | 10000000273 | DOCTOR         |
| Chrysoula  | Theodorou    | 10000000274 | DOCTOR         |
| Anna       | Nikolaou     | 10000000275 | DOCTOR         |
| Vasilis    | Georgiou     | 10000000276 | DOCTOR         |
| Panagiotis | Lazarou      | 10000000277 | DOCTOR         |
| Natalia    | Athanasiou   | 10000000278 | DOCTOR         |
| Theodoros  | Theodorou    | 10000000279 | DOCTOR         |
| Marios     | Alexiou      | 10000000280 | DOCTOR         |
| Anastasia  | Papadopoulos | 10000000281 | DOCTOR         |
| Michalis   | Athanasiou   | 10000000282 | DOCTOR         |
| Giorgos    | Georgiou     | 10000000283 | DOCTOR         |
| Vasilis    | Athanasiou   | 10000000284 | DOCTOR         |
| Giannis    | Sotiriou     | 10000000285 | DOCTOR         |
| Giannis    | Athanasiou   | 10000000286 | DOCTOR         |
| Dimitra    | Pavlidis     | 10000000287 | DOCTOR         |
| Nikos      | Georgiou     | 10000000288 | DOCTOR         |
| Panagiota  | Petrou       | 10000000289 | DOCTOR         |
| Anna       | Konstantinou | 10000000290 | DOCTOR         |
| Katerina   | Athanasiou   | 10000000291 | DOCTOR         |
| Chrysoula  | Lazarou      | 10000000292 | DOCTOR         |
| Christos   | Papadopoulos | 10000000293 | DOCTOR         |
| Vasilis    | Petrou       | 10000000294 | DOCTOR         |
| Stavros    | Theodorou    | 10000000295 | DOCTOR         |
| Vasiliki   | Kostopoulos  | 10000000296 | DOCTOR         |
| Panagiota  | Konstantinou | 10000000297 | DOCTOR         |
| Spyros     | Alexiou      | 10000000298 | DOCTOR         |
| Marios     | Dimitriou    | 10000000299 | DOCTOR         |
| Dimitris   | Konstantinou | 10000000300 | DOCTOR         |
| Christos   | Theodorou    | 10000000301 | DOCTOR         |
| Theodoros  | Konstantinou | 10000000302 | DOCTOR         |
| Katerina   | Nikolaou     | 10000000303 | DOCTOR         |
| Nikos      | Kostopoulos  | 10000000304 | DOCTOR         |
| Natalia    | Sotiriou     | 10000000305 | DOCTOR         |
| Georgia    | Dimitriou    | 10000000306 | DOCTOR         |
| Eleni      | Georgiou     | 10000000307 | DOCTOR         |
| Ioanna     | Athanasiou   | 10000000308 | DOCTOR         |
| Andreas    | Georgiou     | 10000000309 | DOCTOR         |
| Spyros     | Papadopoulos | 10000000310 | DOCTOR         |
| Petros     | Alexiou      | 10000000311 | DOCTOR         |
| Theodoros  | Pavlidis     | 10000000312 | DOCTOR         |
| Petros     | Nikolaou     | 10000000313 | DOCTOR         |
| Eleni      | Ioannou      | 10000000314 | DOCTOR         |
| Stavros    | Athanasiou   | 10000000315 | DOCTOR         |
| Theodoros  | Nikolaou     | 10000000316 | DOCTOR         |
| Anastasia  | Georgiou     | 10000000317 | DOCTOR         |
| Vasiliki   | Lazarou      | 10000000318 | DOCTOR         |
| Panagiotis | Petrou       | 10000000319 | DOCTOR         |
| Vasiliki   | Dimitriou    | 10000000320 | DOCTOR         |
| Stavros    | Vasiliou     | 10000000321 | DOCTOR         |
| Christos   | Lazarou      | 10000000322 | DOCTOR         |
| Kostas     | Lazarou      | 10000000323 | DOCTOR         |
| Vasilis    | Nikolaou     | 10000000324 | DOCTOR         |
| Evangelia  | Nikolaou     | 10000000325 | DOCTOR         |
| Panagiotis | Dimitriou    | 10000000326 | DOCTOR         |
| Katerina   | Georgiou     | 10000000327 | DOCTOR         |
| Giorgos    | Sotiriou     | 10000000328 | DOCTOR         |
| Anastasia  | Athanasiou   | 10000000329 | DOCTOR         |
| Katerina   | Theodorou    | 10000000330 | DOCTOR         |
| Petros     | Vasiliou     | 10000000331 | DOCTOR         |
| Stavros    | Alexiou      | 10000000332 | DOCTOR         |
| Evangelia  | Pavlidis     | 10000000333 | DOCTOR         |
| Georgia    | Athanasiou   | 10000000334 | DOCTOR         |
| Georgia    | Theodorou    | 10000000335 | DOCTOR         |
| Marios     | Theodorou    | 10000000336 | DOCTOR         |
| Marios     | Ioannou      | 10000000337 | DOCTOR         |
| Panagiotis | Sotiriou     | 10000000338 | DOCTOR         |
| Petros     | Dimitriou    | 10000000339 | DOCTOR         |
| Dimitra    | Vasiliou     | 10000000340 | DOCTOR         |
| Nikos      | Pavlidis     | 10000000341 | DOCTOR         |
| Natalia    | Konstantinou | 10000000342 | DOCTOR         |
| Vasiliki   | Athanasiou   | 10000000343 | DOCTOR         |
| Giorgos    | Konstantinou | 10000000344 | DOCTOR         |
| Christos   | Alexiou      | 10000000345 | DOCTOR         |
| Stavros    | Nikolaou     | 10000000346 | DOCTOR         |
| Andreas    | Athanasiou   | 10000000347 | DOCTOR         |
| Dimitra    | Petrou       | 10000000348 | DOCTOR         |
| Andreas    | Pavlidis     | 10000000349 | DOCTOR         |
| Spyros     | Georgiou     | 10000000350 | DOCTOR         |
| Nikos      | Papadopoulos | 10000000351 | DOCTOR         |
| Ioanna     | Alexiou      | 10000000352 | DOCTOR         |
| Eleni      | Sotiriou     | 10000000353 | DOCTOR         |
| Panagiotis | Pavlidis     | 10000000354 | DOCTOR         |
| Vasilis    | Vasiliou     | 10000000355 | DOCTOR         |
| Dimitra    | Ioannou      | 10000000356 | DOCTOR         |
| Kostas     | Nikolaou     | 10000000357 | DOCTOR         |
| Ioanna     | Athanasiou   | 10000000358 | DOCTOR         |
| Katerina   | Sotiriou     | 10000000359 | DOCTOR         |
| Anastasia  | Papadopoulos | 10000000360 | DOCTOR         |
| Vasilis    | Konstantinou | 10000000361 | DOCTOR         |
| Nikos      | Ioannou      | 10000000362 | DOCTOR         |
| Chrysoula  | Konstantinou | 10000000363 | DOCTOR         |
| Vasilis    | Alexiou      | 10000000364 | DOCTOR         |
| Evangelia  | Ioannou      | 10000000365 | DOCTOR         |
| Andreas    | Dimitriou    | 10000000366 | DOCTOR         |
| Anastasia  | Georgiou     | 10000000367 | DOCTOR         |
| Chrysoula  | Konstantinou | 10000000368 | DOCTOR         |
| Spyros     | Nikolaou     | 10000000369 | DOCTOR         |
| Kostas     | Vasiliou     | 10000000370 | DOCTOR         |
| Eleni      | Theodorou    | 10000000371 | DOCTOR         |
| Christos   | Kostopoulos  | 10000000372 | DOCTOR         |
| Vasilis    | Pavlidis     | 10000000373 | DOCTOR         |
| Anna       | Sotiriou     | 10000000374 | DOCTOR         |
| Dimitra    | Sotiriou     | 10000000375 | DOCTOR         |
| Kostas     | Alexiou      | 10000000376 | DOCTOR         |
| Panagiota  | Alexiou      | 10000000377 | DOCTOR         |
| Evangelia  | Papadopoulos | 10000000378 | DOCTOR         |
| Stavros    | Lazarou      | 10000000379 | DOCTOR         |
| Anna       | Theodorou    | 10000000380 | DOCTOR         |
| Dimitra    | Theodorou    | 10000000381 | DOCTOR         |
| Stavros    | Lazarou      | 10000000382 | DOCTOR         |
| Natalia    | Nikolaou     | 10000000383 | DOCTOR         |
| Kostas     | Petrou       | 10000000384 | DOCTOR         |
| Evangelia  | Theodorou    | 10000000385 | DOCTOR         |
| Dimitris   | Vasiliou     | 10000000386 | DOCTOR         |
| Anna       | Papadopoulos | 10000000387 | DOCTOR         |
| Natalia    | Papadopoulos | 10000000388 | DOCTOR         |
| Natalia    | Petrou       | 10000000389 | DOCTOR         |
| Evangelia  | Papadopoulos | 10000000390 | DOCTOR         |
| Panagiotis | Dimitriou    | 10000000391 | DOCTOR         |
| Kostas     | Georgiou     | 10000000392 | DOCTOR         |
| Panagiotis | Kostopoulos  | 10000000393 | DOCTOR         |
| Theodoros  | Vasiliou     | 10000000394 | DOCTOR         |
| Michalis   | Theodorou    | 10000000395 | DOCTOR         |
| Panagiota  | Pavlidis     | 10000000396 | DOCTOR         |
| Nikos      | Dimitriou    | 10000000397 | DOCTOR         |
| Kostas     | Athanasiou   | 10000000398 | DOCTOR         |
| Maria      | Petrou       | 10000000399 | DOCTOR         |
| Anna       | Ioannou      | 10000000400 | DOCTOR         |
| Giannis    | Lazarou      | 10000000401 | DOCTOR         |
| Chrysoula  | Kostopoulos  | 10000000402 | DOCTOR         |
| Dimitris   | Ioannou      | 10000000403 | DOCTOR         |
| Anna       | Petrou       | 10000000404 | DOCTOR         |
| Petros     | Athanasiou   | 10000000405 | DOCTOR         |
| Dimitra    | Alexiou      | 10000000406 | DOCTOR         |
| Maria      | Athanasiou   | 10000000407 | DOCTOR         |
| Georgia    | Georgiou     | 10000000408 | DOCTOR         |
| Natalia    | Theodorou    | 10000000409 | DOCTOR         |
| Marios     | Kostopoulos  | 10000000410 | DOCTOR         |
| Georgia    | Kostopoulos  | 10000000411 | DOCTOR         |
| Vasiliki   | Athanasiou   | 10000000412 | DOCTOR         |
| Giannis    | Athanasiou   | 10000000413 | DOCTOR         |
| Giorgos    | Ioannou      | 10000000414 | DOCTOR         |
| Andreas    | Athanasiou   | 10000000415 | DOCTOR         |
| Georgia    | Kostopoulos  | 10000000416 | DOCTOR         |
| Panagiota  | Papadopoulos | 10000000417 | DOCTOR         |
| Spyros     | Sotiriou     | 10000000418 | DOCTOR         |
| Christos   | Kostopoulos  | 10000000419 | DOCTOR         |
| Stavros    | Konstantinou | 10000000420 | NURSE          |
| Panagiotis | Sotiriou     | 10000000421 | NURSE          |
| Stavros    | Georgiou     | 10000000422 | NURSE          |
| Petros     | Konstantinou | 10000000423 | NURSE          |
| Natalia    | Lazarou      | 10000000424 | NURSE          |
| Panagiotis | Nikolaou     | 10000000425 | NURSE          |
| Nikos      | Sotiriou     | 10000000426 | NURSE          |
| Vasiliki   | Theodorou    | 10000000427 | NURSE          |
| Andreas    | Georgiou     | 10000000428 | NURSE          |
| Andreas    | Petrou       | 10000000429 | NURSE          |
| Katerina   | Georgiou     | 10000000430 | NURSE          |
| Stavros    | Papadopoulos | 10000000431 | NURSE          |
| Vasiliki   | Dimitriou    | 10000000432 | NURSE          |
| Nikos      | Kostopoulos  | 10000000433 | NURSE          |
| Anna       | Dimitriou    | 10000000434 | NURSE          |
| Anastasia  | Ioannou      | 10000000435 | NURSE          |
| Chrysoula  | Pavlidis     | 10000000436 | NURSE          |
| Christos   | Alexiou      | 10000000437 | NURSE          |
| Anastasia  | Sotiriou     | 10000000438 | NURSE          |
| Panagiotis | Vasiliou     | 10000000439 | NURSE          |
| Natalia    | Georgiou     | 10000000440 | NURSE          |
| Vasiliki   | Sotiriou     | 10000000441 | NURSE          |
| Nikos      | Ioannou      | 10000000442 | NURSE          |
| Sofia      | Pavlidis     | 10000000443 | NURSE          |
| Nikos      | Petrou       | 10000000444 | NURSE          |
| Kostas     | Alexiou      | 10000000445 | NURSE          |
| Katerina   | Lazarou      | 10000000446 | NURSE          |
| Giannis    | Dimitriou    | 10000000447 | NURSE          |
| Anastasia  | Vasiliou     | 10000000448 | NURSE          |
| Georgia    | Kostopoulos  | 10000000449 | NURSE          |
| Ioanna     | Georgiou     | 10000000450 | NURSE          |
| Spyros     | Vasiliou     | 10000000451 | NURSE          |
| Anastasia  | Alexiou      | 10000000452 | NURSE          |
| Giannis    | Papadopoulos | 10000000453 | NURSE          |
| Theodoros  | Alexiou      | 10000000454 | NURSE          |
| Ioanna     | Konstantinou | 10000000455 | NURSE          |
| Panagiota  | Vasiliou     | 10000000456 | NURSE          |
| Dimitris   | Dimitriou    | 10000000457 | NURSE          |
| Katerina   | Pavlidis     | 10000000458 | NURSE          |
| Anastasia  | Pavlidis     | 10000000459 | NURSE          |
| Petros     | Alexiou      | 10000000460 | NURSE          |
| Chrysoula  | Vasiliou     | 10000000461 | NURSE          |
