+---------------------+------------+--------------+--------------+-----------------+-----------------------+----------------------+-----------------+-------+
| initial_doctor_amka | first_name | last_name    | doctor_rank  | supervisor_amka | supervisor_first_name | supervisor_last_name | supervisor_rank | level |
| 10000000032         | Vasiliki   | Dimitriou    | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     1 |
| 10000000033         | Petros     | Georgiou     | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     1 |
| 10000000034         | Stavros    | Lazarou      | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     1 |
| 10000000035         | Panagiota  | Petrou       | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     1 |
| 10000000036         | Vasiliki   | Papadopoulos | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     1 |
| 10000000037         | Dimitra    | Theodorou    | CONSULTANT_B | 10000000035     | Panagiota             | Petrou               | CONSULTANT_A    |     1 |
| 10000000037         | Panagiota  | Petrou       | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000038         | Anna       | Georgiou     | CONSULTANT_B | 10000000033     | Petros                | Georgiou             | CONSULTANT_A    |     1 |
| 10000000038         | Petros     | Georgiou     | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000039         | Giorgos    | Vasiliou     | CONSULTANT_B | 10000000029     | Despoina              | Ioannou              | CONSULTANT_A    |     1 |
| 10000000039         | Despoina   | Ioannou      | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000040         | Panagiotis | Dimitriou    | CONSULTANT_B | 10000000033     | Petros                | Georgiou             | CONSULTANT_A    |     1 |
| 10000000040         | Petros     | Georgiou     | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000041         | Andreas    | Dimitriou    | CONSULTANT_B | 10000000031     | Sofia                 | Sotiriou             | CONSULTANT_A    |     1 |
| 10000000041         | Sofia      | Sotiriou     | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000042         | Ioanna     | Athanasiou   | CONSULTANT_B | 10000000036     | Vasiliki              | Papadopoulos         | CONSULTANT_A    |     1 |
| 10000000042         | Vasiliki   | Papadopoulos | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000043         | Dimitra    | Ioannou      | CONSULTANT_B | 10000000031     | Sofia                 | Sotiriou             | CONSULTANT_A    |     1 |
| 10000000043         | Sofia      | Sotiriou     | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000044         | Katerina   | Theodorou    | CONSULTANT_B | 10000000035     | Panagiota             | Petrou               | CONSULTANT_A    |     1 |
| 10000000044         | Panagiota  | Petrou       | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000045         | Sofia      | Sotiriou     | RESIDENT     | 10000000044     | Katerina              | Theodorou            | CONSULTANT_B    |     1 |
| 10000000045         | Katerina   | Theodorou    | CONSULTANT_B | 10000000035     | Panagiota             | Petrou               | CONSULTANT_A    |     2 |
| 10000000045         | Panagiota  | Petrou       | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     3 |
| 10000000046         | Georgia    | Alexiou      | RESIDENT     | 10000000031     | Sofia                 | Sotiriou             | CONSULTANT_A    |     1 |
| 10000000046         | Sofia      | Sotiriou     | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000047         | Despoina   | Theodorou    | RESIDENT     | 10000000044     | Katerina              | Theodorou            | CONSULTANT_B    |     1 |
| 10000000047         | Katerina   | Theodorou    | CONSULTANT_B | 10000000035     | Panagiota             | Petrou               | CONSULTANT_A    |     2 |
| 10000000047         | Panagiota  | Petrou       | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     3 |
| 10000000048         | Vasiliki   | Theodorou    | RESIDENT     | 10000000040     | Panagiotis            | Dimitriou            | CONSULTANT_B    |     1 |
| 10000000048         | Panagiotis | Dimitriou    | CONSULTANT_B | 10000000033     | Petros                | Georgiou             | CONSULTANT_A    |     2 |
| 10000000048         | Petros     | Georgiou     | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     3 |
| 10000000049         | Kostas     | Dimitriou    | RESIDENT     | 10000000042     | Ioanna                | Athanasiou           | CONSULTANT_B    |     1 |
| 10000000049         | Ioanna     | Athanasiou   | CONSULTANT_B | 10000000036     | Vasiliki              | Papadopoulos         | CONSULTANT_A    |     2 |
| 10000000049         | Vasiliki   | Papadopoulos | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     3 |
| 10000000050         | Stavros    | Pavlidis     | RESIDENT     | 10000000039     | Giorgos               | Vasiliou             | CONSULTANT_B    |     1 |
| 10000000050         | Giorgos    | Vasiliou     | CONSULTANT_B | 10000000029     | Despoina              | Ioannou              | CONSULTANT_A    |     2 |
| 10000000050         | Despoina   | Ioannou      | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     3 |
| 10000000051         | Anastasia  | Petrou       | RESIDENT     | 10000000039     | Giorgos               | Vasiliou             | CONSULTANT_B    |     1 |
| 10000000051         | Giorgos    | Vasiliou     | CONSULTANT_B | 10000000029     | Despoina              | Ioannou              | CONSULTANT_A    |     2 |
| 10000000051         | Despoina   | Ioannou      | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     3 |
| 10000000052         | Eleni      | Dimitriou    | RESIDENT     | 10000000032     | Vasiliki              | Dimitriou            | CONSULTANT_A    |     1 |
| 10000000052         | Vasiliki   | Dimitriou    | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000053         | Georgia    | Konstantinou | RESIDENT     | 10000000034     | Stavros               | Lazarou              | CONSULTANT_A    |     1 |
| 10000000053         | Stavros    | Lazarou      | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     2 |
| 10000000054         | Giorgos    | Ioannou      | RESIDENT     | 10000000039     | Giorgos               | Vasiliou             | CONSULTANT_B    |     1 |
| 10000000054         | Giorgos    | Vasiliou     | CONSULTANT_B | 10000000029     | Despoina              | Ioannou              | CONSULTANT_A    |     2 |
| 10000000054         | Despoina   | Ioannou      | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     3 |
| 10000000055         | Vasilis    | Nikolaou     | RESIDENT     | 10000000042     | Ioanna                | Athanasiou           | CONSULTANT_B    |     1 |
| 10000000055         | Ioanna     | Athanasiou   | CONSULTANT_B | 10000000036     | Vasiliki              | Papadopoulos         | CONSULTANT_A    |     2 |
| 10000000055         | Vasiliki   | Papadopoulos | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     3 |
| 10000000057         | Marios     | Lazarou      | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000058         | Christos   | Vasiliou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000059         | Kostas     | Lazarou      | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000060         | Vasilis    | Dimitriou    | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000061         | Chrysoula  | Georgiou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000062         | Sofia      | Lazarou      | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000063         | Chrysoula  | Nikolaou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000064         | Ioanna     | Theodorou    | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000065         | Sofia      | Theodorou    | CONSULTANT_B | 10000000058     | Christos              | Vasiliou             | CONSULTANT_A    |     1 |
| 10000000065         | Christos   | Vasiliou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000066         | Vasiliki   | Georgiou     | CONSULTANT_B | 10000000062     | Sofia                 | Lazarou              | CONSULTANT_A    |     1 |
| 10000000066         | Sofia      | Lazarou      | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000067         | Kostas     | Kostopoulos  | CONSULTANT_B | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000068         | Despoina   | Ioannou      | CONSULTANT_B | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     1 |
| 10000000069         | Anna       | Vasiliou     | CONSULTANT_B | 10000000058     | Christos              | Vasiliou             | CONSULTANT_A    |     1 |
| 10000000069         | Christos   | Vasiliou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000070         | Sofia      | Athanasiou   | CONSULTANT_B | 10000000063     | Chrysoula             | Nikolaou             | CONSULTANT_A    |     1 |
| 10000000070         | Chrysoula  | Nikolaou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000071         | Panagiota  | Theodorou    | CONSULTANT_B | 10000000057     | Marios                | Lazarou              | CONSULTANT_A    |     1 |
| 10000000071         | Marios     | Lazarou      | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000072         | Natalia    | Nikolaou     | CONSULTANT_B | 10000000061     | Chrysoula             | Georgiou             | CONSULTANT_A    |     1 |
| 10000000072         | Chrysoula  | Georgiou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000073         | Panagiota  | Athanasiou   | RESIDENT     | 10000000063     | Chrysoula             | Nikolaou             | CONSULTANT_A    |     1 |
| 10000000073         | Chrysoula  | Nikolaou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000074         | Marios     | Nikolaou     | RESIDENT     | 10000000061     | Chrysoula             | Georgiou             | CONSULTANT_A    |     1 |
| 10000000074         | Chrysoula  | Georgiou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000075         | Christos   | Pavlidis     | RESIDENT     | 10000000072     | Natalia               | Nikolaou             | CONSULTANT_B    |     1 |
| 10000000075         | Natalia    | Nikolaou     | CONSULTANT_B | 10000000061     | Chrysoula             | Georgiou             | CONSULTANT_A    |     2 |
| 10000000075         | Chrysoula  | Georgiou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     3 |
| 10000000076         | Maria      | Theodorou    | RESIDENT     | 10000000064     | Ioanna                | Theodorou            | CONSULTANT_A    |     1 |
| 10000000076         | Ioanna     | Theodorou    | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000077         | Nikos      | Lazarou      | RESIDENT     | 10000000060     | Vasilis               | Dimitriou            | CONSULTANT_A    |     1 |
| 10000000077         | Vasilis    | Dimitriou    | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000078         | Andreas    | Dimitriou    | RESIDENT     | 10000000068     | Despoina              | Ioannou              | CONSULTANT_B    |     1 |
| 10000000078         | Despoina   | Ioannou      | CONSULTANT_B | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000079         | Marios     | Lazarou      | RESIDENT     | 10000000068     | Despoina              | Ioannou              | CONSULTANT_B    |     1 |
| 10000000079         | Despoina   | Ioannou      | CONSULTANT_B | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000080         | Stavros    | Nikolaou     | RESIDENT     | 10000000060     | Vasilis               | Dimitriou            | CONSULTANT_A    |     1 |
| 10000000080         | Vasilis    | Dimitriou    | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000081         | Anastasia  | Athanasiou   | RESIDENT     | 10000000065     | Sofia                 | Theodorou            | CONSULTANT_B    |     1 |
| 10000000081         | Sofia      | Theodorou    | CONSULTANT_B | 10000000058     | Christos              | Vasiliou             | CONSULTANT_A    |     2 |
| 10000000081         | Christos   | Vasiliou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     3 |
| 10000000082         | Dimitris   | Vasiliou     | RESIDENT     | 10000000064     | Ioanna                | Theodorou            | CONSULTANT_A    |     1 |
| 10000000082         | Ioanna     | Theodorou    | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     2 |
| 10000000083         | Theodoros  | Theodorou    | RESIDENT     | 10000000070     | Sofia                 | Athanasiou           | CONSULTANT_B    |     1 |
| 10000000083         | Sofia      | Athanasiou   | CONSULTANT_B | 10000000063     | Chrysoula             | Nikolaou             | CONSULTANT_A    |     2 |
| 10000000083         | Chrysoula  | Nikolaou     | CONSULTANT_A | 10000000056     | Georgia               | Athanasiou           | DIRECTOR        |     3 |
| 10000000085         | Eleni      | Georgiou     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     1 |
| 10000000086         | Natalia    | Konstantinou | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     1 |
| 10000000087         | Vasiliki   | Vasiliou     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     1 |
| 10000000088         | Vasilis    | Konstantinou | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     1 |
| 10000000089         | Dimitris   | Ioannou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     1 |
| 10000000090         | Ioanna     | Ioannou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     1 |
| 10000000091         | Vasilis    | Lazarou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     1 |
| 10000000092         | Spyros     | Pavlidis     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     1 |
| 10000000093         | Dimitris   | Sotiriou     | CONSULTANT_B | 10000000088     | Vasilis               | Konstantinou         | CONSULTANT_A    |     1 |
| 10000000093         | Vasilis    | Konstantinou | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000094         | Natalia    | Vasiliou     | CONSULTANT_B | 10000000085     | Eleni                 | Georgiou             | CONSULTANT_A    |     1 |
| 10000000094         | Eleni      | Georgiou     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000095         | Andreas    | Konstantinou | CONSULTANT_B | 10000000090     | Ioanna                | Ioannou              | CONSULTANT_A    |     1 |
| 10000000095         | Ioanna     | Ioannou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000096         | Petros     | Nikolaou     | CONSULTANT_B | 10000000090     | Ioanna                | Ioannou              | CONSULTANT_A    |     1 |
| 10000000096         | Ioanna     | Ioannou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000097         | Panagiotis | Petrou       | CONSULTANT_B | 10000000091     | Vasilis               | Lazarou              | CONSULTANT_A    |     1 |
| 10000000097         | Vasilis    | Lazarou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000098         | Anna       | Lazarou      | CONSULTANT_B | 10000000091     | Vasilis               | Lazarou              | CONSULTANT_A    |     1 |
| 10000000098         | Vasilis    | Lazarou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000099         | Giannis    | Pavlidis     | CONSULTANT_B | 10000000087     | Vasiliki              | Vasiliou             | CONSULTANT_A    |     1 |
| 10000000099         | Vasiliki   | Vasiliou     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000100         | Kostas     | Petrou       | CONSULTANT_B | 10000000092     | Spyros                | Pavlidis             | CONSULTANT_A    |     1 |
| 10000000100         | Spyros     | Pavlidis     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000101         | Evangelia  | Sotiriou     | RESIDENT     | 10000000093     | Dimitris              | Sotiriou             | CONSULTANT_B    |     1 |
| 10000000101         | Dimitris   | Sotiriou     | CONSULTANT_B | 10000000088     | Vasilis               | Konstantinou         | CONSULTANT_A    |     2 |
| 10000000101         | Vasilis    | Konstantinou | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     3 |
| 10000000102         | Petros     | Konstantinou | RESIDENT     | 10000000087     | Vasiliki              | Vasiliou             | CONSULTANT_A    |     1 |
| 10000000102         | Vasiliki   | Vasiliou     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000103         | Natalia    | Vasiliou     | RESIDENT     | 10000000098     | Anna                  | Lazarou              | CONSULTANT_B    |     1 |
| 10000000103         | Anna       | Lazarou      | CONSULTANT_B | 10000000091     | Vasilis               | Lazarou              | CONSULTANT_A    |     2 |
| 10000000103         | Vasilis    | Lazarou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     3 |
| 10000000104         | Stavros    | Lazarou      | RESIDENT     | 10000000087     | Vasiliki              | Vasiliou             | CONSULTANT_A    |     1 |
| 10000000104         | Vasiliki   | Vasiliou     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000105         | Evangelia  | Petrou       | RESIDENT     | 10000000098     | Anna                  | Lazarou              | CONSULTANT_B    |     1 |
| 10000000105         | Anna       | Lazarou      | CONSULTANT_B | 10000000091     | Vasilis               | Lazarou              | CONSULTANT_A    |     2 |
| 10000000105         | Vasilis    | Lazarou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     3 |
| 10000000106         | Michalis   | Theodorou    | RESIDENT     | 10000000090     | Ioanna                | Ioannou              | CONSULTANT_A    |     1 |
| 10000000106         | Ioanna     | Ioannou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000107         | Giorgos    | Vasiliou     | RESIDENT     | 10000000094     | Natalia               | Vasiliou             | CONSULTANT_B    |     1 |
| 10000000107         | Natalia    | Vasiliou     | CONSULTANT_B | 10000000085     | Eleni                 | Georgiou             | CONSULTANT_A    |     2 |
| 10000000107         | Eleni      | Georgiou     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     3 |
| 10000000108         | Vasilis    | Athanasiou   | RESIDENT     | 10000000095     | Andreas               | Konstantinou         | CONSULTANT_B    |     1 |
| 10000000108         | Andreas    | Konstantinou | CONSULTANT_B | 10000000090     | Ioanna                | Ioannou              | CONSULTANT_A    |     2 |
| 10000000108         | Ioanna     | Ioannou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     3 |
| 10000000109         | Vasiliki   | Papadopoulos | RESIDENT     | 10000000088     | Vasilis               | Konstantinou         | CONSULTANT_A    |     1 |
| 10000000109         | Vasilis    | Konstantinou | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000110         | Vasilis    | Lazarou      | RESIDENT     | 10000000087     | Vasiliki              | Vasiliou             | CONSULTANT_A    |     1 |
| 10000000110         | Vasiliki   | Vasiliou     | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     2 |
| 10000000111         | Katerina   | Papadopoulos | RESIDENT     | 10000000095     | Andreas               | Konstantinou         | CONSULTANT_B    |     1 |
| 10000000111         | Andreas    | Konstantinou | CONSULTANT_B | 10000000090     | Ioanna                | Ioannou              | CONSULTANT_A    |     2 |
| 10000000111         | Ioanna     | Ioannou      | CONSULTANT_A | 10000000084     | Andreas               | Alexiou              | DIRECTOR        |     3 |
| 10000000113         | Nikos      | Athanasiou   | CONSULTANT_A | 10000000112     | Georgia               | Kostopoulos          | DIRECTOR        |     1 |
| 10000000114         | Panagiota  | Ioannou      | CONSULTANT_A | 10000000112     | Georgia               | Kostopoulos          | DIRECTOR        |     1 |
